code,name,native,type,type_native,population,area_km2,density_km2,growth_annual_pct,population_rank,area_km2_rank,density_km2_rank,growth_annual_pct_rank,division_count
SMD,Shuto,首都,Fu,府,14522923,2077.468,6990.684333043879,0.13011825226101337,1,13,1,9,31
Shitagawa,Shitagawa,下川,Ken,県,10873844,19312.8915,563.0355247426311,0.4635895574979454,3,12,3,4,22
Kaido,Kaidō,海道,Ken,県,11921960,23179.717,514.327245669134,0.2622048707701774,2,10,4,6,36
Nankyo,Nankyō,南強,Ken,県,8451140,37126.9335,227.62827961539028,0.7095027021480682,4,6,6,1,27
Iwatsu,Iwatsu,岩津,Ken,県,7401033,49875.811,148.38922619223175,0.492832770693008,5,4,8,3,43
Tokushima,Tokushima,徳島,Ken,県,6034001,70699.8795,85.34669426133888,0.16539943229276766,7,2,10,8,35
Gyoson,Gyoson,漁村,Ken,県,6553100,26062.196500000002,251.44081773767607,-0.11514308823560304,6,8,5,11,27
IMD,Idaina,伊大那,Fu,府,5164716,771.447,6694.84228987863,0.36283657723954477,8,14,2,5,14
Waradani,Waradani,藁谷,Ken,県,4247697,55778.872500000005,76.1524356735608,-0.46270627450566426,9,3,11,13,22
Uegawa,Uegawa,上川,Ken,県,4119679,22515.1335,182.97377628251684,-0.2140508973342059,10,11,7,12,14
Miyagi,Miyagi,宮城,Ken,県,2506934,119893.152,20.909734694438594,-0.04659925378283081,11,1,14,10,20
Nansho,Nanshō,南壮,Ken,県,2200814,45084.235,48.815600397788714,0.5467551390268444,12,5,13,2,17
Teizan,Teizan,低山,Ken,県,2030721,23624.832,85.95705569461828,-0.8281491667579521,13,9,9,14,12
Hokusho,Hokushō,北壮,Ken,県,1868781,35653.979,52.414374283442534,0.22368513105621712,14,7,12,7,13
