id,name,native,population,prefecture,prefecture_display,area_km2,density_km2,population_rank,population_prefecture_rank,density_km2_rank,density_km2_prefecture_rank,area_km2_rank,area_km2_prefecture_rank,growth_annual_pct,growth_annual_pct_rank,growth_annual_pct_prefecture_rank,division_type,division_type_native,division_type_display
1,Shinkyou,心京,228234,SMD,Shuto Metropolitan District,13.7,16659.416058394163,134,27,6,6,328,27,-1.02,296,30,To,都,Municipal-level city
2,Chiyoda,千代田,793423,SMD,Shuto Metropolitan District,39.3875,20144.030466518565,13,5,2,2,302,15,-0.16,195,17,To,都,Municipal-level city
3,Ueno,上野,367342,SMD,Shuto Metropolitan District,17.536,20947.878649635033,60,13,1,1,323,25,-0.59,255,22,To,都,Municipal-level city
4,Kitamuki,北向,328263,SMD,Shuto Metropolitan District,24.934,13165.276329509905,71,17,11,10,316,21,-0.78,282,28,To,都,Municipal-level city
5,Kanda,神田,375639,SMD,Shuto Metropolitan District,35.2775,10648.11848912196,55,12,20,13,306,17,0.21,166,13,To,都,Municipal-level city
6,Mizue,瑞江,366372,SMD,Shuto Metropolitan District,21.098,17365.247890795337,61,14,4,4,320,23,0.19,168,14,To,都,Municipal-level city
7,Adachi,足立,859273,SMD,Shuto Metropolitan District,78.775,10907.940336401141,10,4,18,12,269,7,-0.06,181,16,To,都,Municipal-level city
8,Narashino,習志野,112991,SMD,Shuto Metropolitan District,6.0965,18533.748872303782,265,31,3,3,333,31,-0.65,263,25,To,都,Municipal-level city
9,Matsudo,松戸,1142284,SMD,Shuto Metropolitan District,205.1575,5567.839342943836,7,3,46,22,203,3,0.31,157,11,To,都,Municipal-level city
10,Kamagaya,鎌ケ谷,249983,SMD,Shuto Metropolitan District,27.8795,8966.55248480066,113,22,32,19,314,20,-0.27,206,18,To,都,Municipal-level city
11,Ayase,綾瀬,388757,SMD,Shuto Metropolitan District,35.1405,11062.93308291003,51,10,16,11,307,18,-0.49,241,21,To,都,Municipal-level city
12,Kashiwa,柏,506293,SMD,Shuto Metropolitan District,50.005,10124.847515248475,40,9,26,16,299,14,-0.28,209,19,To,都,Municipal-level city
13,Abiko,我孫子,229203,SMD,Shuto Metropolitan District,13.6315,16814.217070755236,133,26,5,5,330,29,-1.05,298,31,To,都,Municipal-level city
14,Ichikawa,,1240323,SMD,Shuto Metropolitan District,290.303,4272.5118238530085,5,2,67,29,185,2,0.27,161,12,To,都,Municipal-level city
15,Yachiyo,八千代,246384,SMD,Shuto Metropolitan District,16.6455,14801.838334685051,118,23,8,7,325,26,-0.87,289,29,To,都,Municipal-level city
16,Inzai,印西,319283,SMD,Shuto Metropolitan District,31.7155,10067.096530087812,77,18,29,18,309,19,-0.6,256,23,To,都,Municipal-level city
17,Misato,三郷,358394,SMD,Shuto Metropolitan District,35.5515,10080.981111908079,64,16,28,17,305,16,-0.71,273,27,To,都,Municipal-level city
18,Sōka,草加,238949,SMD,Shuto Metropolitan District,22.5365,10602.755529918133,124,24,21,14,318,22,-0.43,232,20,To,都,Municipal-level city
19,Higashishuto,東首都,2236493,SMD,Shuto Metropolitan District,381.4765,5862.728110381636,2,1,42,21,170,1,0.46,138,9,To,都,Municipal-level city
20,Warabi,蕨,142382,SMD,Shuto Metropolitan District,13.7,10392.846715328467,214,30,23,15,329,28,-0.69,269,26,To,都,Municipal-level city
21,Asaka,朝霞,365383,SMD,Shuto Metropolitan District,71.103,5138.78458011617,62,15,57,24,278,9,-0.04,179,15,To,都,Municipal-level city
